EVENT_TYPE	CATEGORY	TERM	CODE
OBS	ABDOMINAL_MASS	Pelvic mass	74285003
OBS	ABDOMINAL_MASS	Abdominal mass	271860004
OBS	ABDOMINAL_MASS	O/E - abdominal mass palpated	163278007
OBS	ABDOMINAL_MASS	Intra-abdominal and pelvic swelling, mass and lump	274719002
OBS	ABDOMINAL_MASS	C/O: a swelling	162410003
OBS	ASCITES	Ascites	389026000
OBS	ASCITES	O/E - ascites	163309001
OBS	ABDOMINAL_BLOATING	Abdominal bloating	116289008
OBS	ABDOMINAL_BLOATING	[D]Bloating	248490000
OBS	ABDOMINAL_BLOATING	Abdominal distension symptom	162068007
OBS	ABDOMINAL_BLOATING	Swollen abdomen	60728008
OBS	EARLY_SATIETY	Early satiety	442076002
OBS	ABDOMINAL_PAIN	Lower abdominal pain	54586004
OBS	ABDOMINAL_PAIN	[D] Pelvic pain	162147009
OBS	ABDOMINAL_PAIN	Pain in left iliac fossa	162052001
OBS	ABDOMINAL_PAIN	Right iliac fossa pain	162051008
OBS	ABDOMINAL_PAIN	Right flank pain	162050009
OBS	ABDOMINAL_PAIN	Nonspecific abdominal pain	304542004
OBS	ABDOMINAL_PAIN	[D]Abdominal pain NOS	21522001
OBS	ABDOMINAL_PAIN	Abdominal discomfort	43364001
OBS	ABDOMINAL_PAIN	[D]Suprapubic pain	162053006
OBS	ABDOMINAL_PAIN	Loin pain	271857006
OBS	GI_SYMPTOMS	Gastrointestinal symptoms	267045008
